season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_type,win_margin,id
2023,2023-05-23,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,GT,field,CSK,runs,15,1002
2023,2023-05-24,MI,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,MI,bat,MI,runs,81,1003
2023,2023-05-26,GT,MI,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,MI,field,GT,runs,62,1004
2023,2023-05-29,GT,CSK,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,CSK,field,CSK,wickets,5,1005
2024,2024-03-22,RCB,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,RCB,bat,CSK,wickets,6,1006
2024,2024-03-23,KKR,SRH,"Eden Gardens, Kolkata",Kolkata,SRH,field,KKR,runs,4,1007
2024,2024-03-23,DC,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,PBKS,field,PBKS,wickets,4,1008
2024,2024-03-24,GT,MI,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,MI,field,GT,runs,6,1009
2024,2024-03-24,RR,LSG,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,bat,RR,runs,20,1010
2024,2024-03-25,PBKS,RCB,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,field,RCB,wickets,4,1011
2024,2024-03-26,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,GT,field,CSK,runs,63,1012
2024,2024-03-27,SRH,MI,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,MI,field,SRH,runs,31,1013
2024,2024-03-28,RR,DC,"Sawai Mansingh Stadium, Jaipur",Jaipur,DC,field,RR,runs,12,1014
2024,2024-03-29,RCB,KKR,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,KKR,field,KKR,wickets,7,1015
2024,2024-03-30,LSG,PBKS,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,bat,LSG,runs,21,1016
2024,2024-03-31,SRH,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,SRH,bat,GT,wickets,7,1017
2024,2024-03-31,DC,CSK,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,DC,bat,DC,runs,20,1018
2024,2024-04-01,MI,RR,"Wankhede Stadium, Mumbai",Mumbai,RR,field,RR,wickets,6,1019
2024,2024-04-02,LSG,RCB,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,field,LSG,runs,28,1020
2024,2024-04-03,KKR,DC,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,KKR,bat,KKR,runs,106,1021
2024,2024-04-04,GT,PBKS,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,PBKS,field,PBKS,wickets,3,1022
2024,2024-04-05,CSK,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,SRH,field,SRH,wickets,6,1023
2024,2024-04-06,RCB,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,field,RR,wickets,6,1024
2024,2024-04-07,MI,DC,"Wankhede Stadium, Mumbai",Mumbai,DC,field,MI,runs,29,1025
2024,2024-04-07,LSG,GT,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,bat,LSG,runs,33,1026
2024,2024-04-08,KKR,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,field,CSK,wickets,7,1027
2024,2024-04-09,SRH,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,PBKS,field,SRH,runs,2,1028
2024,2024-04-10,RR,GT,"Sawai Mansingh Stadium, Jaipur",Jaipur,GT,field,GT,wickets,3,1029
2024,2024-04-11,RCB,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,MI,wickets,7,1030
2024,2024-04-12,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,bat,DC,wickets,6,1031
2024,2024-04-13,PBKS,RR,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,RR,field,RR,wickets,3,1032
2024,2024-04-14,LSG,KKR,"Eden Gardens, Kolkata",Kolkata,KKR,field,KKR,wickets,8,1033
2024,2024-04-14,CSK,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,CSK,runs,20,1034
2024,2024-04-15,SRH,RCB,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,field,SRH,runs,25,1035
2024,2024-04-16,KKR,RR,"Eden Gardens, Kolkata",Kolkata,RR,field,RR,wickets,2,1036
2024,2024-04-17,GT,DC,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,DC,field,DC,wickets,6,1037
2024,2024-04-18,MI,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,PBKS,field,MI,runs,9,1038
2024,2024-04-19,CSK,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,field,LSG,wickets,8,1039
2024,2024-04-20,SRH,DC,"Arun Jaitley Stadium, Delhi",Delhi,DC,field,SRH,runs,67,1040
2024,2024-04-21,KKR,RCB,"Eden Gardens, Kolkata",Kolkata,RCB,field,KKR,runs,1,1041
2024,2024-04-21,PBKS,GT,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,PBKS,bat,GT,wickets,3,1042
2024,2024-04-22,MI,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,MI,bat,RR,wickets,9,1043
2024,2024-04-23,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,LSG,field,LSG,wickets,6,1044
2024,2024-04-24,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,GT,field,DC,runs,4,1045
2024,2024-04-25,RCB,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,RCB,bat,RCB,runs,35,1046
2024,2024-04-26,KKR,PBKS,"Eden Gardens, Kolkata",Kolkata,PBKS,field,PBKS,wickets,8,1047
2024,2024-04-27,DC,MI,"Arun Jaitley Stadium, Delhi",Delhi,MI,field,DC,runs,10,1048
2024,2024-04-27,LSG,RR,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,RR,field,RR,wickets,7,1049
2024,2024-04-28,GT,RCB,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,RCB,field,RCB,wickets,9,1050
2024,2024-04-28,CSK,SRH,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,SRH,field,CSK,runs,78,1051
2024,2024-04-29,DC,KKR,"Eden Gardens, Kolkata",Kolkata,DC,bat,KKR,wickets,7,1052
2024,2024-04-30,MI,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,field,LSG,wickets,4,1053
2024,2024-05-01,CSK,PBKS,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,PBKS,field,PBKS,wickets,7,1054
2024,2024-05-02,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,SRH,bat,SRH,runs,1,1055
2024,2024-05-03,KKR,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,KKR,runs,24,1056
2024,2024-05-04,GT,RCB,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,field,RCB,wickets,4,1057
2024,2024-05-05,CSK,PBKS,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,PBKS,field,CSK,runs,28,1058
2024,2024-05-05,KKR,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,field,KKR,runs,98,1059
2024,2024-05-06,SRH,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,MI,wickets,7,1060
2024,2024-05-07,DC,RR,"Arun Jaitley Stadium, Delhi",Delhi,RR,field,DC,runs,20,1061
2024,2024-05-08,LSG,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,LSG,bat,SRH,wickets,10,1062
2024,2024-05-09,RCB,PBKS,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,PBKS,field,RCB,runs,60,1063
2024,2024-05-10,GT,CSK,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,CSK,field,GT,runs,35,1064
2024,2024-05-11,KKR,MI,"Eden Gardens, Kolkata",Kolkata,MI,field,KKR,runs,18,1065
2024,2024-05-12,RCB,DC,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,DC,field,RCB,runs,47,1066
2024,2024-05-12,RR,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,RR,bat,CSK,wickets,5,1067
2024,2024-05-14,DC,LSG,"Arun Jaitley Stadium, Delhi",Delhi,LSG,field,DC,runs,19,1068
2024,2024-05-15,RR,PBKS,"Barsapara Cricket Stadium, Guwahati",Guwahati,RR,bat,PBKS,wickets,5,1069
2024,2024-05-17,LSG,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,LSG,runs,18,1070
2024,2024-05-18,RCB,CSK,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,CSK,field,RCB,runs,27,1071
2024,2024-05-19,PBKS,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,PBKS,bat,SRH,wickets,4,1072
2024,2024-05-21,SRH,KKR,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,SRH,bat,KKR,wickets,8,1073
2024,2024-05-22,RCB,RR,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,RR,field,RR,wickets,4,1074
2024,2024-05-24,SRH,RR,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,RR,field,SRH,runs,36,1075
2024,2024-05-26,SRH,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,SRH,bat,KKR,wickets,8,1076
2025,2025-03-22,KKR,RCB,"Eden Gardens, Kolkata",Kolkata,RCB,field,RCB,wickets,7,1077
2025,2025-03-23,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,RR,field,SRH,runs,44,1078
2025,2025-03-23,MI,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,field,CSK,wickets,4,1079
2025,2025-03-24,LSG,DC,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,DC,field,DC,wickets,1,1080
2025,2025-03-25,PBKS,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,field,PBKS,runs,11,1081
2025,2025-03-26,RR,KKR,"Barsapara Cricket Stadium, Guwahati",Guwahati,KKR,field,KKR,wickets,8,1082
2025,2025-03-27,SRH,LSG,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,LSG,field,LSG,wickets,5,1083
2025,2025-03-28,RCB,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,field,RCB,runs,50,1084
2025,2025-03-29,GT,MI,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,MI,field,GT,runs,36,1085
2025,2025-03-30,SRH,DC,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,SRH,bat,DC,wickets,7,1086
2025,2025-03-30,RR,CSK,"Barsapara Cricket Stadium, Guwahati",Guwahati,CSK,field,RR,runs,6,1087
2025,2025-03-31,KKR,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,MI,wickets,8,1088
2025,2025-04-01,LSG,PBKS,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,PBKS,field,PBKS,wickets,8,1089
2025,2025-04-02,RCB,GT,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,GT,field,GT,wickets,8,1090
2025,2025-04-03,KKR,SRH,"Eden Gardens, Kolkata",Kolkata,SRH,field,KKR,runs,80,1091
2025,2025-04-04,LSG,MI,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,MI,field,LSG,runs,12,1092
2025,2025-04-05,DC,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,DC,bat,DC,runs,25,1093
2025,2025-04-05,RR,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,PBKS,field,RR,runs,50,1094
2025,2025-04-06,SRH,GT,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,GT,field,GT,wickets,7,1095
